,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bahia de Caraquez,40,EC,1573094918,78,-0.6,-80.42,23.0,5.1
1,Lhokseumawe,80,ID,1573094918,74,5.18,97.15,27.04,1.55
2,Kiunga,82,PG,1573094918,58,-6.12,141.3,31.4,0.98
3,Prainha,60,BR,1573094918,62,-1.8,-53.48,27.63,1.57
4,Kokkola,100,FI,1573094918,84,63.84,23.13,2.78,1.5
5,Yellowknife,5,CA,1573094665,84,62.45,-114.38,-12.22,2.1
6,Khatanga,47,RU,1573094807,81,71.98,102.47,-22.33,4.08
7,Haines Junction,100,CA,1573094918,95,60.75,-137.51,-1.65,3.09
8,Rikitea,0,PF,1573094778,72,-23.12,-134.97,25.33,1.68
9,Sola,98,TZ,1573094919,70,-3.17,33.8,20.87,2.0
10,Irkutsk,75,RU,1573094919,76,52.29,104.28,0.0,1.0
11,La Ronge,90,CA,1573094793,72,55.1,-105.3,-10.0,2.6
12,Mataura,100,NZ,1573094919,69,-46.19,168.86,19.26,1.2
13,Carnarvon,0,ZA,1573094828,71,-30.97,22.13,6.98,6.61
14,Mishelevka,98,RU,1573094919,78,52.86,103.17,-0.79,1.18
15,Mackay,75,CA,1573094919,85,53.65,-115.58,-9.0,1.0
16,Ugoofaaru,0,MV,1573094919,73,5.67,73.0,27.93,3.58
17,Hobart,75,AU,1573094871,57,-42.88,147.33,11.67,11.3
18,Luanda,75,AO,1573094778,88,-8.83,13.24,25.0,1.5
19,Kapaa,20,US,1573094803,65,22.08,-159.32,30.0,7.2
20,Beoumi,20,CI,1573094920,100,7.67,-5.58,23.0,2.1
21,Mar del Plata,0,AR,1573094920,31,-46.43,-67.52,9.79,15.19
22,Cape Town,75,ZA,1573094920,67,-33.93,18.42,15.56,3.1
23,Terra Santa,96,BR,1573094920,55,-2.1,-56.49,27.81,1.26
24,Albany,75,US,1573094731,59,42.65,-73.75,3.89,1.5
25,Barrow,20,AR,1573094920,39,-38.31,-60.23,16.5,4.52
26,Adrar,0,DZ,1573094921,36,27.87,-0.29,16.0,6.2
27,Karatau,16,KZ,1573094921,57,43.18,70.46,0.56,0.45
28,Sitka,100,US,1573094921,60,37.17,-99.65,8.74,10.61
29,Ruteng,1,ID,1573094898,44,-8.61,120.46,30.12,3.02
30,Chumikan,100,RU,1573094921,53,54.72,135.31,-8.57,8.12
31,Kasama,6,ZM,1573094921,66,-10.21,31.19,18.44,2.33
32,Port Hardy,90,CA,1573094708,93,50.7,-127.42,8.0,1.5
33,Bredasdorp,23,ZA,1573094921,58,-34.53,20.04,15.0,9.3
34,Bethel,90,US,1573094848,90,60.79,-161.76,3.0,4.1
35,Hermanus,99,ZA,1573094922,67,-34.42,19.24,15.0,6.26
36,Puerto Ayora,5,EC,1573094922,93,-0.74,-90.35,20.56,1.34
37,Ushuaia,90,AR,1573094922,98,-54.81,-68.31,1.0,12.3
38,Kloulklubed,75,PW,1573094922,74,7.04,134.26,28.0,4.6
39,Geraldton,90,CA,1573094922,78,49.72,-86.95,-9.0,6.2
40,Ahipara,24,NZ,1573094922,76,-35.17,173.16,19.4,6.0
41,Butaritari,68,KI,1573094922,74,3.07,172.79,29.23,4.57
42,Kruisfontein,97,ZA,1573094771,80,-34.0,24.73,13.67,11.1
43,Coreau,0,BR,1573094923,86,-3.53,-40.66,22.4,1.12
44,Aksha,98,RU,1573094923,47,50.28,113.29,3.14,6.85
45,Chokurdakh,99,RU,1573094923,96,70.62,147.9,-11.77,1.82
46,Inta,100,RU,1573094923,96,66.04,60.13,-14.35,1.22
47,Punta Arenas,40,CL,1573094923,74,-53.16,-70.91,3.0,15.4
48,Nishihara,40,JP,1573094923,55,35.74,139.53,23.89,2.6
49,Faanui,3,PF,1573094923,81,-16.48,-151.75,27.13,7.34
50,Vaini,40,IN,1573094924,100,15.34,74.49,20.0,0.56
51,East London,100,ZA,1573094782,79,-33.02,27.91,18.78,6.73
52,Goose Creek,90,US,1573094924,93,38.32,-85.65,10.56,2.18
53,Busselton,0,AU,1573094924,32,-33.64,115.35,23.89,1.84
54,Husavik,5,CA,1573094924,76,50.56,-96.99,-10.0,3.52
55,Carlyle,20,CA,1573094924,84,49.63,-102.27,-17.0,3.1
56,Saskylakh,0,RU,1573094924,97,71.97,114.09,-30.32,2.65
57,Airai,17,TL,1573094924,36,-8.93,125.41,30.09,3.88
58,Phalombe,15,MW,1573094924,65,-15.81,35.65,20.83,2.25
59,Severo-Kurilsk,39,RU,1573094925,78,50.68,156.12,2.67,6.62
60,Tengzhou,0,CN,1573094925,19,35.11,117.16,23.89,3.87
61,Abha,19,SA,1573094925,34,18.22,42.5,14.0,2.21
62,Archidona,87,EC,1573094925,95,-0.91,-77.81,15.88,1.11
63,Atar,0,MR,1573094887,41,20.52,-13.05,18.79,3.81
64,Samagaltay,0,RU,1573094925,57,50.6,95.0,1.73,0.63
65,Lebu,20,ET,1573094925,66,8.96,38.73,12.0,1.5
66,Khandyga,100,RU,1573094925,90,62.65,135.58,-22.71,0.91
67,Meulaboh,83,ID,1573094925,79,4.14,96.13,27.01,4.25
68,Yangambi,100,CD,1573094925,99,0.77,24.47,20.64,0.53
69,Saldanha,25,PT,1573094926,81,41.42,-6.55,7.38,6.12
70,Cuajinicuilapa,0,MX,1573094926,91,16.47,-98.41,24.95,0.67
71,Tigre,33,AR,1573094926,68,-34.42,-58.58,23.33,2.1
72,Cherskiy,100,RU,1573094926,74,68.75,161.3,-2.32,4.89
73,Oranjemund,1,ZA,1573094926,88,-28.55,16.43,12.7,2.36
74,Srednekolymsk,100,RU,1573094926,94,67.46,153.71,-12.38,1.66
75,Port Alfred,100,ZA,1573094926,90,-33.59,26.89,16.67,3.13
76,Grand Gaube,75,MU,1573094926,83,-20.01,57.66,23.89,4.1
77,Tocatlan,75,MX,1573094926,63,19.38,-98.02,16.0,3.47
78,Qaanaaq,14,GL,1573094926,57,77.48,-69.36,-17.78,2.91
79,Pisco,0,PE,1573094927,88,-13.71,-76.2,17.78,5.7
80,Cascais,75,PT,1573094641,100,38.7,-9.42,17.0,4.1
81,Paamiut,87,GL,1573094927,47,61.99,-49.67,-1.17,4.7
82,Dongsheng,100,CN,1573094927,50,29.72,112.52,17.1,2.33
83,Jamestown,28,AU,1573094927,41,-33.21,138.6,18.8,7.22
84,San Felipe,0,CL,1573094927,23,-32.75,-70.73,12.25,3.29
85,Paso de los Toros,68,UY,1573094927,76,-32.81,-56.52,14.28,2.32
86,Goderich,99,CA,1573094927,78,43.74,-81.71,5.0,3.13
87,Bambous Virieux,75,MU,1573094927,83,-20.34,57.76,23.89,4.1
88,Maralal,0,KE,1573094928,78,1.1,36.7,16.84,4.26
89,Kahului,40,US,1573094928,65,20.89,-156.47,28.0,6.2
90,Sao Joao da Barra,100,BR,1573094928,87,-21.64,-41.05,22.5,4.93
91,Georgetown,40,GY,1573094928,100,6.8,-58.16,25.0,2.1
92,Ryotsu,20,JP,1573094928,59,38.08,138.43,19.0,4.1
93,Balikpapan,100,ID,1573094928,65,-1.24,116.86,29.96,2.23
94,Karoi,25,ZW,1573094928,50,-16.82,29.68,21.71,7.07
95,Surt,80,LY,1573094928,32,31.21,16.59,22.38,6.8
96,Inhambane,0,MZ,1573094928,89,-23.87,35.38,23.65,4.83
97,Kysyl-Syr,0,RU,1573094929,92,63.9,122.77,-22.65,1.7
98,Wyndham,41,GB,1573094929,87,51.61,-3.54,8.33,6.7
99,Sompeta,100,IN,1573094929,69,18.93,84.6,24.93,2.35
100,Longyearbyen,20,NO,1573094929,61,78.22,15.63,-9.0,1.58
101,Atuona,100,PF,1573094778,77,-9.8,-139.03,26.84,7.71
102,Eyl,25,SO,1573094929,81,7.98,49.82,26.52,3.81
103,Juegang,100,CN,1573094930,50,32.31,121.18,21.67,5.52
104,Kavieng,100,PG,1573094930,76,-2.57,150.8,28.81,7.1
105,Lewistown,90,US,1573094930,74,40.39,-90.15,6.11,8.2
106,Ribeira Grande,100,PT,1573094930,85,38.52,-28.7,15.9,3.26
107,Umtata,100,ZA,1573094930,93,-31.59,28.78,15.0,2.6
108,Kaitangata,67,NZ,1573094930,75,-46.28,169.85,15.0,3.13
109,Sudak,16,UA,1573094930,79,44.85,34.97,13.06,3.17
110,Hithadhoo,100,MV,1573094930,68,-0.6,73.08,28.03,2.69
111,Havoysund,24,NO,1573094930,79,71.0,24.66,-7.0,3.1
112,New Norfolk,75,AU,1573094930,57,-42.78,147.06,11.67,11.3
113,Iqaluit,40,CA,1573094852,77,63.75,-68.52,-14.0,3.6
114,Fillan,20,NO,1573094931,74,63.6,8.98,-1.67,4.1
115,Broome,89,GB,1573094931,93,52.47,1.45,10.56,3.1
116,Sterling,1,US,1573094931,80,39.0,-77.4,9.44,2.1
117,Thompson,90,CA,1573094931,77,55.74,-97.86,-15.0,1.5
118,Isangel,75,VU,1573094931,69,-19.55,169.27,28.0,6.2
119,Upernavik,100,GL,1573094829,93,72.79,-56.15,-4.36,1.65
120,Sambava,100,MG,1573094931,95,-14.27,50.17,21.42,1.15
121,Sabang,88,PH,1573094931,85,13.8,121.11,27.78,1.79
122,Namibe,75,AO,1573094932,80,-15.19,12.15,23.26,4.92
123,Mopti,0,ML,1573094932,27,14.49,-4.19,24.97,1.03
124,Chara,20,GR,1573094932,93,39.42,22.43,12.0,0.46
125,Dayong,0,CN,1573094932,47,25.02,118.29,24.0,4.0
126,Ilulissat,97,GL,1573094887,58,69.22,-51.1,-4.0,1.5
127,Pellerd,99,HU,1573094932,98,46.03,18.15,10.0,2.46
128,Srivardhan,53,IN,1573094932,80,18.03,73.02,26.01,2.23
129,Bluff,0,AU,1573094933,19,-23.58,149.07,31.33,1.44
130,Solnechnyy,100,RU,1573094933,64,50.72,136.64,-8.13,2.41
131,Mount Gambier,90,AU,1573094933,87,-37.83,140.78,13.0,8.7
132,Sorong,100,ID,1573094933,79,-0.86,131.25,28.49,1.93
133,Santa,6,PH,1573094933,75,17.49,120.43,29.23,1.74
134,Shubarshi,0,KZ,1573094933,71,48.59,57.19,-2.55,5.25
135,Felanitx,20,ES,1573094933,93,39.47,3.15,10.56,1.0
136,Guerrero Negro,100,MX,1573094933,86,27.97,-114.04,17.91,4.63
137,Hualmay,5,PE,1573094933,85,-11.1,-77.61,15.47,0.97
138,Norman Wells,75,CA,1573094934,66,65.28,-126.83,-9.0,5.7
139,Yakeshi,100,CN,1573094934,57,49.28,120.73,-5.66,6.49
140,Lexington,90,US,1573094934,57,38.05,-84.5,11.67,3.44
141,Rome,40,IT,1573094881,81,41.89,12.48,13.33,3.1
142,Am Timan,3,TD,1573094934,41,11.04,20.28,22.48,0.9
143,Provideniya,20,RU,1573094934,58,64.42,-173.23,-1.0,3.0
144,Dhidhdhoo,0,MV,1573094934,77,6.88,73.1,27.93,5.16
145,Himatangi,100,NZ,1573094934,62,-40.4,175.32,22.22,2.24
146,Tasiilaq,100,GL,1573094802,68,65.61,-37.64,-4.0,0.5
147,Lorengau,88,PG,1573094935,67,-2.02,147.27,29.05,3.87
148,Bom Jesus,0,BR,1573094935,38,-9.08,-44.36,24.62,1.98
149,Kavaratti,10,IN,1573094935,75,10.57,72.64,27.57,4.25
150,Constitucion,90,MX,1573094935,82,23.99,-104.67,16.11,1.0
151,Petropavlovka,0,RU,1573094935,62,50.61,105.32,0.54,1.04
152,Vestmannaeyjar,100,IS,1573094935,84,63.44,-20.27,4.12,6.35
153,Pevek,57,RU,1573094809,74,69.7,170.27,-3.6,3.75
154,Kieta,100,PG,1573094936,72,-6.22,155.63,28.55,2.32
155,Sar-e Pul,0,AF,1573094936,52,36.22,65.93,2.0,1.21
156,Suffolk,1,US,1573094701,93,36.73,-76.58,9.0,1.29
157,Erie,90,US,1573094762,42,42.13,-80.09,9.0,7.7
158,Novi Pazar,100,RS,1573094936,98,43.14,20.51,9.16,0.96
159,Namatanai,75,PG,1573094936,77,-3.66,152.44,28.73,9.1
160,Bud,52,NO,1573094936,79,62.91,6.91,-3.0,1.0
161,Hilo,1,US,1573094936,69,19.71,-155.08,28.0,3.1
162,Rio Gallegos,56,AR,1573094937,64,-51.62,-69.22,4.0,15.4
163,Torbay,20,CA,1573094829,80,47.66,-52.73,6.11,11.3
164,Vyazniki,98,RU,1573094937,83,56.25,42.14,11.09,6.96
165,Roald,86,NO,1573094937,86,62.58,6.12,-1.67,1.0
166,Ancud,100,CL,1573094937,81,-41.87,-73.83,7.98,2.71
167,Vilhena,100,BR,1573094937,95,-12.74,-60.15,21.64,1.26
168,Viedma,99,AR,1573094937,47,-40.81,-62.99,17.32,8.8
169,Port Elizabeth,1,US,1573094937,80,39.31,-74.98,8.0,1.44
170,Kidal,0,ML,1573094937,19,18.44,1.41,24.55,3.16
171,Lagoa,40,PT,1573094938,93,37.14,-8.45,16.11,2.1
172,Kalakamati,4,BW,1573094938,24,-20.59,27.31,21.28,5.38
173,Okha,100,RU,1573094938,70,53.59,142.95,-2.86,6.87
174,Nyurba,100,RU,1573094938,87,63.29,118.35,-19.66,2.6
175,Eureka,90,US,1573094938,100,40.8,-124.16,10.0,0.7
176,Bollnas,95,SE,1573094938,82,61.35,16.39,-3.57,1.93
177,Campo Formoso,34,BR,1573094938,73,-10.51,-40.32,20.66,5.95
178,Santa Maria,20,BR,1573094938,78,-16.02,-48.01,24.0,1.5
179,Nikolskoye,100,RU,1573094938,79,59.7,30.79,-3.33,5.0
180,Te Anau,80,NZ,1573094938,70,-45.41,167.72,13.35,2.76
181,Castro,97,CL,1573094773,97,-42.48,-73.76,1.92,0.81
182,Kempele,75,FI,1573094939,92,64.91,25.51,-15.0,1.5
183,Tuktoyaktuk,90,CA,1573094939,85,69.44,-133.03,-7.0,3.1
184,Chifeng,0,CN,1573094883,16,42.27,118.96,2.37,2.72
185,Noumea,0,NC,1573094810,42,-22.28,166.46,28.0,6.2
186,Naze,100,NG,1573094801,97,5.43,7.07,23.39,1.18
187,Cartagena del Chaira,100,CO,1573094939,99,1.33,-74.84,22.22,1.31
188,Aykhal,80,RU,1573094939,83,65.95,111.51,-26.0,2.0
189,Udachnyy,99,RU,1573094940,83,66.42,112.4,-26.0,2.0
190,Peace River,75,CA,1573094940,84,56.23,-117.29,-13.0,1.0
191,Olinda,90,AU,1573094940,45,-37.84,145.39,18.33,9.8
192,Novoseleznevo,94,RU,1573094940,87,55.68,69.21,1.79,6.83
193,Hokitika,100,NZ,1573094940,93,-42.72,170.96,13.84,9.79
194,Nouadhibou,0,MR,1573094940,72,20.93,-17.03,19.0,7.2
195,Lockport,75,CA,1573094940,78,50.09,-96.94,-10.0,2.6
196,Cidreira,31,BR,1573094940,77,-30.17,-50.22,19.77,11.26
197,Yangjiang,100,CN,1573094940,45,21.85,111.96,25.56,3.21
198,Esperance,90,AU,1573094941,63,-33.86,121.89,17.0,6.7
199,Tilichiki,100,RU,1573094941,91,60.47,166.1,0.7,7.0
200,General Pico,0,AR,1573094941,39,-35.66,-63.75,22.24,6.17
201,Barra Patuca,68,HN,1573094941,78,15.8,-84.28,27.94,5.62
